Transmission Delay vs. Response Time
HTTP Version;1.0;1.0
Transmission Delay Per Byte;2;5
Uncached Response Time;1991;3658
Cached Response Time;2113;4061
Transmission Delay vs. Response Time
HTTP Version;1.1;1.1
Transmission Delay Per Byte;2;5
Uncached Response Time;1627;3196
Propagation Delay vs. Response Time
HTTP Version;1.0;1.0
Propagation Delay;100;120
Uncached Response Time;1840;3948
Propagation Delay vs. Response Time
HTTP Version;1.1;1.1
Propagation Delay;100;120
Uncached Response Time;1625;3226
Number of Objects vs. Response Time
HTTP Version;1.0;1.0
Number of parent objects;2;2
Number of children per parent;0;1
Total number of objects;2;4
Uncached Response Time;1839;5758
Number of Objects vs. Response Time
HTTP Version;1.1;1.1
Number of parent objects;2;2
Number of children per parent;0;1
Total number of objects;2;4
Uncached Response Time;1630;4707

